iter	MultiClass
0	2.285748069
1	2.190636135
2	2.088632387
3	2.004699019
4	1.927365326
5	1.85185145
6	1.786007059
7	1.727710189
8	1.66780761
9	1.615135014
10	1.56809875
11	1.521997426
12	1.477220111
13	1.439499505
14	1.403470261
15	1.369093985
16	1.333761819
17	1.299323515
18	1.270521039
19	1.239016965
20	1.206766601
21	1.179275096
22	1.152165457
23	1.122738199
24	1.09722038
25	1.073373931
26	1.048333805
27	1.025374326
28	1.003980098
29	0.9846723457
30	0.9653365576
31	0.9447308065
32	0.92632935
33	0.9065891344
34	0.8877541455
35	0.8701840442
36	0.8539383942
37	0.8371263652
38	0.820569738
39	0.8051958474
40	0.7890242412
41	0.7765851345
42	0.7618804363
43	0.7486348853
44	0.7359520599
45	0.7226309043
46	0.709702872
47	0.698008698
48	0.6858738929
49	0.6737170196
50	0.6624167138
51	0.6507622082
52	0.6393187272
53	0.6284803449
54	0.6188892672
55	0.6097674736
56	0.5999147161
57	0.5907834396
58	0.5818987015
59	0.5727838728
60	0.5646973915
61	0.5558914721
62	0.5471205083
63	0.5384817938
64	0.5305990989
65	0.5226485723
66	0.5150874055
67	0.5080331976
68	0.5008667734
69	0.4930955231
70	0.4858480823
71	0.478936816
72	0.4726435461
73	0.4658513451
74	0.4591826919
75	0.4531095851
76	0.4472971562
77	0.4418477562
78	0.436435153
79	0.4311292012
80	0.4250124457
81	0.4193002177
82	0.4139472359
83	0.4086458533
84	0.4039498115
85	0.3986727732
86	0.3938031992
87	0.3888864038
88	0.384525747
89	0.3801583438
90	0.3758584201
91	0.3711552373
92	0.367070485
93	0.3625922774
94	0.3583593442
95	0.3538437195
96	0.3499600142
97	0.3460061114
98	0.3417600709
99	0.3378923012
100	0.3339975231
101	0.3299562826
102	0.3264171939
103	0.3226616987
104	0.3188056492
105	0.3155191628
106	0.3116684892
107	0.3083800767
108	0.3049713309
109	0.3017553399
110	0.298379621
111	0.2953685673
112	0.2923398465
113	0.2892170817
114	0.2861801097
115	0.2831444496
116	0.280408635
117	0.2776521865
118	0.2750875375
119	0.2723486849
120	0.2697676122
121	0.2672430269
122	0.2643484376
123	0.2620564369
124	0.2596382906
125	0.2572821832
126	0.2548101457
127	0.2523979947
128	0.250332303
129	0.2479376668
130	0.2457263534
131	0.2434174281
132	0.2412148655
133	0.2389759986
134	0.2369110331
135	0.2349165562
136	0.2328345339
137	0.2306894288
138	0.2286917185
139	0.2264764353
140	0.2243743097
141	0.222256513
142	0.2202760656
143	0.2181842717
144	0.2161099513
145	0.2142095822
146	0.2122365249
147	0.2103315792
148	0.208436436
149	0.2066180598
150	0.2048444107
151	0.2032596091
152	0.2012725065
153	0.1997817221
154	0.1981054744
155	0.19617133
156	0.1945425442
157	0.1930040348
158	0.1916118474
159	0.1899234304
160	0.1883473558
161	0.1869638669
162	0.1856301446
163	0.1842559696
164	0.1828204198
165	0.1813638225
166	0.1800284871
167	0.1784859596
168	0.1770239692
169	0.1757234759
170	0.174368702
171	0.1729549032
172	0.171690065
173	0.1702493525
174	0.1688666837
175	0.1673955307
176	0.166062902
177	0.1648063542
178	0.1636137882
179	0.1623912923
180	0.1610601832
181	0.1597556133
182	0.1585902991
183	0.1574066878
184	0.156197902
185	0.1550934949
186	0.153900905
187	0.1528670092
188	0.1517235874
189	0.1506168448
190	0.1494488681
191	0.1484756622
192	0.1475598636
193	0.1465153826
194	0.1455831823
195	0.1445004801
196	0.1435492924
197	0.1424779086
198	0.1414179186
199	0.140391537
