iter	Passed	Remaining
0	198	99093
1	401	99884
2	591	98025
3	788	97762
4	985	97602
5	1188	97870
6	1395	98279
7	1595	98139
8	1803	98376
9	2001	98097
10	2191	97401
11	2386	97048
12	2574	96461
13	2763	95918
14	2951	95424
15	3139	94971
16	3327	94531
17	3517	94194
18	3705	93808
19	3891	93402
20	4078	93039
21	4265	92684
22	4452	92347
23	4639	92018
24	4824	91670
25	5012	91373
26	5196	91033
27	5381	90716
28	5569	90459
29	5757	90202
30	5945	89952
31	6133	89708
32	6322	89477
33	6516	89320
34	6706	89101
35	6895	88870
36	7089	88709
37	7288	88607
38	7494	88589
39	7696	88507
40	7898	88426
41	8100	88334
42	8305	88265
43	8507	88164
44	8702	87991
45	8935	88187
46	9223	88894
47	9562	90043
48	9807	90272
49	10032	90289
50	10256	90300
51	10449	90029
52	10645	89780
53	10842	89549
54	11029	89238
55	11229	89033
56	11433	88856
57	11631	88639
58	11827	88408
59	12016	88121
60	12215	87909
61	12424	87770
62	12621	87550
63	12815	87306
64	13010	87068
65	13210	86865
66	13409	86661
67	13606	86439
68	13797	86181
69	14034	86212
70	14269	86220
71	14501	86201
72	14725	86134
73	14934	85974
74	15171	85970
75	15390	85861
76	15608	85745
77	15810	85539
78	16035	85454
79	16238	85252
80	16442	85055
81	16657	84914
82	16844	84627
83	17038	84379
84	17241	84176
85	17451	84011
86	17659	83832
87	17861	83626
88	18059	83400
89	18257	83174
90	18450	82924
91	18638	82655
92	18824	82382
93	19010	82111
94	19221	81945
95	19449	81849
96	19652	81648
97	19838	81378
98	20023	81105
99	20211	80847
100	20396	80577
101	20595	80362
102	20778	80088
103	20967	79836
104	21159	79599
105	21352	79365
106	21538	79108
107	21726	78860
108	21913	78606
109	22099	78352
110	22285	78100
111	22473	77855
112	22660	77606
113	22846	77358
114	23031	77104
115	23217	76857
116	23404	76614
117	23583	76346
118	23773	76114
119	23955	75858
120	24141	75615
121	24329	75382
122	24516	75144
123	24701	74901
124	24886	74659
125	25070	74415
126	25255	74174
127	25444	73946
128	25632	73717
129	25817	73481
130	26004	73249
131	26194	73026
132	26383	72801
133	26570	72573
134	26759	72350
135	26946	72120
136	27131	71889
137	27317	71658
138	27499	71418
139	27683	71187
140	27869	70959
141	28053	70726
142	28239	70500
143	28422	70266
144	28608	70041
145	28793	69813
146	28973	69575
147	29163	69360
148	29359	69162
149	29544	68937
150	29729	68711
151	29915	68491
152	30097	68259
153	30281	68034
154	30465	67809
155	30647	67581
156	30835	67365
157	31018	67141
158	31203	66920
159	31385	66694
160	31566	66465
161	31751	66247
162	31935	66026
163	32119	65806
164	32306	65591
165	32491	65374
166	32677	65158
167	32860	64938
168	33044	64720
169	33226	64498
170	33413	64286
171	33592	64059
172	33770	63832
173	33960	63626
174	34143	63409
175	34327	63193
176	34508	62972
177	34693	62760
178	34878	62548
179	35064	62336
180	35244	62115
181	35430	61906
182	35616	61695
183	35797	61477
184	35970	61247
185	36151	61029
186	36335	60818
187	36519	60606
188	36700	60390
189	36880	60173
190	37072	59976
191	37260	59772
192	37463	59591
193	37661	59404
194	37851	59202
195	38046	59011
196	38237	58811
197	38452	58649
198	38676	58500
199	38889	58333
200	39088	58146
201	39284	57955
202	39476	57756
203	39672	57564
204	39875	57381
205	40072	57191
206	40301	57044
207	40505	56863
208	40693	56659
209	40875	56446
210	41062	56242
211	41263	56056
212	41459	55863
213	41690	55717
214	41897	55538
215	42090	55340
216	42277	55135
217	42469	54938
218	42664	54743
219	42856	54544
220	43041	54336
221	43225	54129
222	43409	53920
223	43596	53716
224	43781	53510
225	43964	53302
226	44152	53099
227	44335	52891
228	44517	52682
229	44704	52479
230	44892	52277
231	45076	52071
232	45263	51868
233	45451	51666
234	45652	51480
235	45843	51282
236	46036	51087
237	46287	50955
238	46483	50761
239	46673	50562
240	46863	50363
241	47056	50167
242	47244	49965
243	47426	49759
244	47613	49556
245	47799	49354
246	47991	49157
247	48172	48949
248	48414	48803
249	48626	48626
250	48820	48431
251	49010	48232
252	49197	48030
253	49380	47824
254	49559	47616
255	49750	47418
256	49940	47219
257	50121	47013
258	50305	46809
259	50487	46603
260	50674	46402
261	50861	46202
262	51046	45999
263	51250	45814
264	51499	45669
265	51737	45513
266	51985	45365
267	52182	45172
268	52375	44976
269	52605	44812
270	52795	44613
271	52995	44422
272	53217	44250
273	53414	44057
274	53622	43873
275	53818	43678
276	54008	43479
277	54195	43278
278	54384	43079
279	54580	42884
280	54800	42709
281	55003	42520
282	55234	42353
283	55506	42216
284	55802	42096
285	56074	41958
286	56316	41795
287	56526	41609
288	56753	41435
289	57009	41282
290	57226	41100
291	57447	40921
292	57666	40740
293	57871	40549
294	58089	40367
295	58279	40165
296	58461	39958
297	58644	39752
298	58826	39545
299	59007	39338
300	59189	39131
301	59367	38922
302	59552	38719
303	59745	38520
304	59932	38317
305	60118	38114
306	60303	37910
307	60488	37707
308	60684	37510
309	60900	37326
310	61101	37132
311	61308	36942
312	61524	36757
313	61709	36553
314	61905	36357
315	62092	36154
316	62272	35949
317	62450	35741
318	62629	35535
319	62808	35329
320	62987	35123
321	63164	34917
322	63351	34715
323	63535	34513
324	63726	34314
325	63922	34117
326	64118	33921
327	64303	33720
328	64485	33516
329	64672	33315
330	64892	33132
331	65091	32937
332	65288	32742
333	65475	32541
334	65658	32339
335	65841	32137
336	66023	31934
337	66207	31732
338	66385	31528
339	66558	31321
340	66739	31118
341	66916	30914
342	67096	30711
343	67278	30509
344	67457	30306
345	67640	30106
346	67824	29905
347	68011	29706
348	68194	29505
349	68380	29305
350	68575	29110
351	68766	28913
352	68962	28717
353	69156	28522
354	69361	28330
355	69561	28137
356	69754	27941
357	69957	27748
358	70149	27551
359	70343	27355
360	70528	27156
361	70711	26956
362	70896	26757
363	71078	26556
364	71261	26357
365	71447	26158
366	71633	25959
367	71820	25761
368	72005	25563
369	72191	25364
370	72383	25168
371	72566	24969
372	72759	24773
373	72945	24575
374	73131	24377
375	73317	24179
376	73510	23983
377	73699	23786
378	73890	23590
379	74081	23394
380	74271	23197
381	74456	22999
382	74651	22804
383	74843	22608
384	75027	22410
385	75212	22213
386	75399	22015
387	75583	21817
388	75775	21622
389	75963	21425
390	76157	21230
391	76344	21033
392	76530	20836
393	76715	20639
394	76900	20441
395	77087	20245
396	77276	20049
397	77465	19852
398	77650	19655
399	77847	19461
400	78036	19265
401	78227	19070
402	78414	18874
403	78595	18676
404	78776	18478
405	78952	18279
406	79135	18082
407	79324	17886
408	79508	17690
409	79695	17494
410	79883	17298
411	80071	17102
412	80263	16907
413	80450	16711
414	80635	16515
415	80817	16318
416	80997	16121
417	81177	15924
418	81355	15727
419	81559	15535
420	81754	15341
421	81950	15147
422	82137	14951
423	82323	14756
424	82505	14559
425	82689	14363
426	82882	14169
427	83116	13982
428	83345	13793
429	83551	13601
430	83740	13406
431	83932	13211
432	84129	13017
433	84334	12825
434	84528	12630
435	84712	12434
436	84895	12238
437	85077	12042
438	85260	11847
439	85443	11651
440	85627	11455
441	85812	11260
442	85996	11065
443	86180	10869
444	86357	10673
445	86547	10478
446	86739	10284
447	86935	10090
448	87118	9895
449	87316	9701
450	87525	9509
451	87723	9315
452	87915	9121
453	88104	8926
454	88288	8731
455	88470	8536
456	88651	8341
457	88830	8146
458	89008	7950
459	89189	7755
460	89366	7560
461	89544	7365
462	89730	7170
463	89913	6976
464	90098	6781
465	90281	6587
466	90462	6392
467	90641	6197
468	90828	6003
469	91019	5809
470	91205	5615
471	91408	5422
472	91594	5228
473	91779	5034
474	91961	4840
475	92149	4646
476	92335	4452
477	92519	4258
478	92701	4064
479	92885	3870
480	93063	3676
481	93247	3482
482	93433	3288
483	93643	3095
484	93868	2903
485	94085	2710
486	94278	2516
487	94463	2322
488	94649	2129
489	94855	1935
490	95039	1742
491	95222	1548
492	95410	1354
493	95595	1161
494	95784	967
495	95964	773
496	96145	580
497	96329	386
498	96519	193
499	96702	0
