text;label
Есть комментарий пассажира?;read_passenger_message
Покажи сообщение заказчика;read_passenger_message
Сообщений пассажир не писал?;read_passenger_message
Покажи комменты к заказу;read_passenger_message
Чатик с клиентом прочитай, зай;read_passenger_message
Комментарий;read_passenger_message
Озвучь сообщение;read_passenger_message
Прочитай комментарий;read_passenger_message
Что человек написал?;read_passenger_message
Что он настрочил там?;read_passenger_message
Че он чешет?;read_passenger_message
Что говорят?;read_passenger_message
Прочитай сообщение;read_passenger_message
Есть собщения от клиента?;read_passenger_message
Что-нибудь пишут?;read_passenger_message
Что пишут?;read_passenger_message
Скажи сообщение;read_passenger_message
Прочитай че написали;read_passenger_message
Что написали?;read_passenger_message
Озвучь;read_passenger_message
Озвучь, плиз, сообщение от пассажира;read_passenger_message
Хочу еще раз услышать сообщение от пассажира;read_passenger_message
Повтори сообщение;read_passenger_message
Еду до заказа, есть сообщения?;read_passenger_message
Че там?;read_passenger_message
Произнеси сообщение пассажира;read_passenger_message
Зачитай вслух;read_passenger_message
Какое содержание у пожелания?;read_passenger_message
Че он там вякает?;read_passenger_message
Озвучить сообщение пассажира;read_passenger_message
Озвучь чат;read_passenger_message
Что написал пассажир?;read_passenger_message
Есть сообщения от пассажира?;read_passenger_message
Какие сообщения?;read_passenger_message
Алиса, покажи что написал клиент;read_passenger_message
Прочти мне сообщения;read_passenger_message
Давай посмотрим что пишет пассажир;read_passenger_message
Есть ли комментарии?;read_passenger_message
Что там в чате?;read_passenger_message
Покажи переписку с клиентом;read_passenger_message
Давай узнаем что хочет пассажир;read_passenger_message
Алиса, зачитай сообщения;read_passenger_message
Есть что почитать от клиента?;read_passenger_message
Что пассажир сообщает?;read_passenger_message
Покажи текст от заказчика;read_passenger_message
Давай посмотрим переписку;read_passenger_message
Алиса, читай что там написано;read_passenger_message
Есть ли текстовые сообщения?;read_passenger_message
Что клиент написал в чат?;read_passenger_message
Покажи мне комментарии пассажира;read_passenger_message
Давай узнаем детали заказа;read_passenger_message
Алиса, огласи сообщение;read_passenger_message
Что там пишут в чате?;read_passenger_message
Покажи что говорит клиент;read_passenger_message
Есть ли сообщения для меня?;read_passenger_message
Давай прочтем что хочет пассажир;read_passenger_message
Алиса, зачитывай переписку;read_passenger_message
Что там написано от клиента?;read_passenger_message
Покажи мне чат с пассажиром;read_passenger_message
Есть ли комментарии к заказу?;read_passenger_message
Давай посмотрим сообщения;read_passenger_message
Алиса, огласи комментарий;read_passenger_message
Что пассажир хочет сказать?;read_passenger_message
Покажи текстовые сообщения;read_passenger_message
Есть ли пожелания в чате?;read_passenger_message
Давай узнаем что в переписке;read_passenger_message
Алиса, прочти комментарии;read_passenger_message
Что клиент сообщил?;read_passenger_message
Покажи мне что написано;read_passenger_message
Есть ли дополнительная информация?;read_passenger_message
Давай посмотрим на сообщения;read_passenger_message
Алиса, озвучь переписку;read_passenger_message
Что там в комментариях?;read_passenger_message
Покажи что пишет заказчик;read_passenger_message
Есть ли уточнения от клиента?;read_passenger_message
Давай прочтем сообщения;read_passenger_message
Алиса, скажи что написал пассажир;read_passenger_message
Что клиент хочет передать?;read_passenger_message
Покажи мне переписку полностью;read_passenger_message
Есть ли замечания от пассажира?;read_passenger_message
Давай узнаем подробности заказа;read_passenger_message
Алиса, читай комментарии клиента;read_passenger_message
Что там пассажир говорит?;read_passenger_message
Покажи все сообщения от заказчика;read_passenger_message
Есть ли особые пожелания?;read_passenger_message
Давай посмотрим что написано;read_passenger_message
Алиса, зачитай что там есть;read_passenger_message
Что клиент просит?;read_passenger_message
Покажи мне детали в чате;read_passenger_message
Есть ли инструкции от пассажира?;read_passenger_message
Давай прочтем все комментарии;read_passenger_message
Алиса, огласи все сообщения;read_passenger_message
Что там пишет человек?;read_passenger_message
Покажи мне весь чат;read_passenger_message
Есть ли указания от клиента?;read_passenger_message
Давай узнаем что требует пассажир;read_passenger_message
Алиса, прочитай переписку целиком;read_passenger_message
Что заказчик сообщает дополнительно?;read_passenger_message
Покажи мне текст полностью;read_passenger_message
Есть ли дополнения к заказу?;read_passenger_message
Давай посмотрим на комментарии;read_passenger_message
Алиса, скажи что в сообщениях;read_passenger_message
Что пассажир добавил к заказу?;read_passenger_message
Покажи мне все что написано;read_passenger_message
Есть ли пояснения от клиента?;read_passenger_message
Давай прочтем что хочет заказчик;read_passenger_message
Алиса, озвучь все комментарии;read_passenger_message
Что там клиент уточняет?;read_passenger_message
Покажи детальную информацию;read_passenger_message
Есть ли примечания к поездке?;read_passenger_message
Давай узнаем все нюансы;read_passenger_message
Алиса, читай что там добавлено;read_passenger_message
Что пассажир написал дополнительно?;read_passenger_message
Покажи мне уточнения заказчика;read_passenger_message
Есть ли особенности заказа?;read_passenger_message
Давай посмотрим на детали;read_passenger_message
Алиса, зачитай дополнительную информацию;read_passenger_message
Что клиент указал особого?;read_passenger_message
Покажи мне специальные пожелания;read_passenger_message
Есть ли важные моменты?;read_passenger_message
Давай прочтем все подробности;read_passenger_message
Алиса, огласи важную информацию;read_passenger_message
Что пассажир хочет уточнить?;read_passenger_message
Покажи мне все замечания;read_passenger_message
Есть ли критичные моменты?;read_passenger_message
Давай узнаем все требования;read_passenger_message
Алиса, прочитай важные детали;read_passenger_message
Что заказчик выделил особенно?;read_passenger_message
Покажи мне ключевые моменты;read_passenger_message
Есть ли срочные указания?;read_passenger_message
Давай посмотрим на приоритеты;read_passenger_message
Алиса, скажи что важно знать;read_passenger_message
Что пассажир считает важным?;read_passenger_message
Покажи мне основные пожелания;read_passenger_message
Есть ли обязательные условия?;read_passenger_message
Давай прочтем ключевую информацию;read_passenger_message
Алиса, озвучь главное из сообщений;read_passenger_message
Что клиент выделяет как важное?;read_passenger_message
