text;label
быстро;accept
сейчас;accept
без задержек;accept
срочно;accept
без промедления;accept
пожалуйста;accept
мгновенно;accept
беру заказ;accept
берём заказ;accept
берём срочно;accept
берём сейчас;accept
беру срочно;accept
беру сейчас;accept
забираю заказ;accept
забираю сейчас;accept
забираю срочно;accept
заберу;accept
заберу срочно;accept
заберу сейчас;accept
берём;accept
давай берём;accept
давай возьмём;accept
берём его;accept
беру его;accept
беру это;accept
беру этот;accept
берём этот;accept
возьми заказ;accept
возьмём заказ;accept
возьми его;accept
возьми это;accept
возьми этот;accept
берём без вопросов;accept
беру без вопросов;accept
берем без промедления;accept
берём без задержек;accept
беру без задержек;accept
берём быстро;accept
беру быстро;accept
берём сразу;accept
беру сразу;accept
берём мгновенно;accept
беру мгновенно;accept
берём немедленно;accept
беру немедленно;accept
берём скоро;accept
беру скоро;accept
да беру;accept
да забираю;accept
да принимаю;accept
да возьмём;accept
давай беру;accept
давай заберу;accept
давай примем;accept
примем заказ;accept
принимаю заказ;accept
принимаю срочно;accept
принимаю сейчас;accept
принимаю мгновенно;accept
принимаю сразу;accept
принимаем заказ;accept
принимаем сразу;accept
принимаем сейчас;accept
принимаем быстро;accept
принимаем мгновенно;accept
принимаем немедленно;accept
подтверди;accept
подтвердить;accept
подтверждаю;accept
ок беру;accept
окей беру;accept
ок забираю;accept
ок принимаю;accept
хорошо беру;accept
хорошо забираю;accept
хорошо принимаю;accept
беру, еду;accept
беру, старт;accept
беру, в пути;accept
беру, готов;accept
беру, поехали;accept
беру, выезжаю;accept
беру, начинаю;accept
берём, едем;accept
берём, поехали;accept
берём, выезжаем;accept
берём, стартуем;accept
забираю, еду;accept
забираю, поехал;accept
забираю, в пути;accept
забираю, старт;accept
забираю, готов;accept
согласен;accept
согласен взять;accept
согласен забрать;accept
согласен принять;accept
готов взять;accept
готов забрать;accept
готов принять;accept
готов беру;accept
готов забираю;accept
готов принимаю;accept
беру к исполнению;accept
беру к работе;accept
беру в дело;accept
берём к работе;accept
берём к исполнению;accept
берём на себя;accept
беру на себя;accept
забираю на себя;accept
заберу на себя;accept
принимаю на себя;accept
ок, беру;accept
ок, забираю;accept
ок, принимаю;accept
yes, accept;accept
take it;accept
i accept;accept
confirm order;accept
take order;accept
accept it;accept
прими;accept
принять;accept
приму;accept
приму срочно;accept
приму сейчас;accept
прими заказ;accept
прими сразу;accept
принимаем;accept
подтверди приём;accept
подтверди срочно;accept
подтверди сейчас;accept
подтверди мгновенно;accept
одобри;accept
одобри заказ;accept
одобряем;accept
беру, ок;accept
забираю, ок;accept
принимаю, ок;accept
беру, да;accept
забираю, да;accept
принимаю, да;accept
беру успешно;accept
забираю успешно;accept
принимаю успешно;accept
берём успешно;accept
беру моментально;accept
берём моментально;accept
забираю моментально;accept
принимаю моментально;accept
беру мгн.;accept
берём мгн.;accept
забираю мгн.;accept
принимаю мгн.;accept
стартуем;accept
старт;accept
в деле;accept
я в деле;accept
еду;accept
выезжаю;accept
поехали;accept
стартуем сейчас;accept
стартую;accept
стартую сейчас;accept
беру и еду;accept
беру и поехал;accept
беру, выхожу;accept
берём, выхожу;accept
забираю, выхожу;accept
заберу, выхожу;accept
принимаю, выхожу;accept
беру, на выход;accept
забираю, на выход;accept
принимаю, на выход;accept
окей;accept
окей беру;accept
окей забираю;accept
окей принимаю;accept
готов;accept
готов беру;accept
готов забираю;accept
готов принимаю;accept
работаю;accept
работаю, беру;accept
работаю, забираю;accept
работаю, принимаю;accept
беру, работаю;accept
забираю, работаю;accept
