iter	Passed	Remaining
0	161	80743
1	317	78955
2	474	78557
3	628	77881
4	782	77510
5	939	77331
6	1096	77248
7	1254	77129
8	1409	76918
9	1565	76717
10	1722	76558
11	1878	76406
12	2037	76333
13	2197	76289
14	2360	76328
15	2521	76261
16	2680	76155
17	2835	75937
18	2995	75831
19	3162	75895
20	3317	75659
21	3473	75474
22	3634	75375
23	3792	75224
24	3948	75029
25	4112	74965
26	4271	74829
27	4432	74726
28	4592	74582
29	4750	74418
30	4903	74177
31	5060	74007
32	5213	73784
33	5369	73599
34	5526	73419
35	5687	73306
36	5846	73155
37	6006	73029
38	6164	72867
39	6323	72722
40	6482	72569
41	6643	72449
42	6807	72347
43	6961	72146
44	7130	72098
45	7305	72098
46	7469	71992
47	7627	71828
48	7792	71722
49	7957	71621
50	8120	71488
51	8283	71363
52	8443	71216
53	8603	71057
54	8757	70852
55	8914	70678
56	9069	70484
57	9224	70298
58	9392	70203
59	9554	70064
60	9709	69879
61	9869	69720
62	10025	69539
63	10186	69395
64	10343	69223
65	10523	69202
66	10690	69090
67	10845	68897
68	11019	68833
69	11178	68666
70	11341	68525
71	11511	68429
72	11677	68306
73	11840	68160
74	12000	68002
75	12158	67830
76	12317	67668
77	12479	67515
78	12638	67352
79	12798	67192
80	12957	67028
81	13113	66847
82	13270	66670
83	13424	66481
84	13580	66305
85	13738	66136
86	13894	65960
87	14055	65807
88	14215	65647
89	14378	65503
90	14536	65335
91	14690	65150
92	14854	65010
93	15011	64837
94	15174	64692
95	15336	64541
96	15491	64362
97	15650	64199
98	15811	64044
99	15976	63907
100	16140	63761
101	16299	63599
102	16457	63431
103	16614	63261
104	16772	63094
105	16931	62934
106	17089	62768
107	17246	62598
108	17406	62438
109	17560	62258
110	17716	62087
111	17873	61917
112	18027	61738
113	18180	61559
114	18338	61395
115	18504	61256
116	18676	61138
117	18834	60972
118	18988	60795
119	19145	60627
120	19299	60449
121	19455	60280
122	19609	60102
123	19769	59947
124	19926	59780
125	20086	59621
126	20243	59456
127	20407	59308
128	20565	59144
129	20720	58974
130	20875	58801
131	21060	58714
132	21227	58575
133	21382	58404
134	21558	58287
135	21732	58165
136	21890	58002
137	22047	57835
138	22204	57666
139	22358	57492
140	22532	57369
141	22691	57207
142	22854	57056
143	23010	56887
144	23165	56716
145	23320	56544
146	23482	56389
147	23640	56226
148	23798	56061
149	23955	55897
150	24122	55752
151	24285	55599
152	24444	55439
153	24601	55272
154	24754	55099
155	24916	54943
156	25072	54775
157	25233	54619
158	25392	54458
159	25548	54291
160	25706	54126
161	25869	53973
162	26024	53804
163	26182	53642
164	26346	53492
165	26500	53319
166	26651	53144
167	26806	52975
168	26972	52828
169	27125	52655
170	27285	52496
171	27443	52333
172	27606	52181
173	27765	52020
174	27926	51863
175	28079	51692
176	28231	51518
177	28384	51347
178	28552	51202
179	28717	51053
180	28884	50906
181	29048	50754
182	29206	50591
183	29368	50437
184	29532	50285
185	29688	50119
186	29846	49957
187	30008	49800
188	30169	49643
189	30321	49472
190	30477	49306
191	30642	49155
192	30796	48986
193	30952	48821
194	31110	48659
195	31265	48492
196	31425	48335
197	31577	48163
198	31728	47991
199	31882	47824
200	32056	47686
201	32208	47514
202	32365	47352
203	32520	47186
204	32675	47020
205	32832	46858
206	32990	46696
207	33146	46532
208	33301	46367
209	33463	46211
210	33624	46054
211	33782	45893
212	33933	45722
213	34085	45554
214	34237	45384
215	34389	45215
216	34541	45047
217	34692	44878
218	34847	44712
219	35001	44547
220	35152	44377
221	35306	44212
222	35462	44049
223	35612	43879
224	35765	43713
225	35916	43545
226	36066	43375
227	36216	43205
228	36365	43034
229	36513	42864
230	36669	42701
231	36819	42533
232	36974	42369
233	37131	42208
234	37284	42043
235	37437	41879
236	37588	41712
